seq,ax,ay,az,gx,gy,gz,label
3,0.229004,-0.078369,0.262207,-14.984733,-160.442749,-21.381680,A
3,0.363281,-0.151611,0.019043,-8.824428,-133.603058,-23.465649,A
3,0.518311,-0.144043,-0.225342,-6.106870,-91.801529,-30.183207,A
3,0.694336,-0.160400,-0.532959,-13.328244,-33.099236,-38.763359,A
3,0.653076,-0.127686,-0.336914,-15.633588,40.503819,-43.534351,A
3,0.543945,-0.114258,-0.098145,-11.274809,74.519081,-45.473282,A
3,0.505615,-0.020508,-0.029297,-9.244275,103.618324,-43.221375,A
3,0.439941,0.000732,0.114014,-21.175573,127.870232,-39.717556,A
3,0.494873,-0.153564,-0.171875,-38.648853,180.259537,-45.961834,A
3,0.345703,-0.267090,-0.266113,-47.129772,250.129776,-64.984734,A
3,-0.071533,-0.031494,0.466553,-36.870228,250.129776,-69.061066,A
3,-0.023438,0.118164,0.162842,-14.038168,250.129776,-39.007633,A
3,-0.274658,-0.056885,0.626465,-11.671756,250.129776,-27.053434,A
3,-0.384033,-0.076904,1.148193,-6.473282,242.221375,-28.824427,A
3,-0.276123,-0.027100,1.025879,-27.427481,226.908401,-32.175571,A
3,-0.423584,-0.150146,1.382813,-38.305344,224.648849,-39.343510,A
3,-0.493164,-0.028076,1.592285,-14.671756,180.320618,-29.732824,A
3,-0.643799,0.145508,1.996826,-2.068702,148.618317,-20.061069,A
3,-0.739258,0.255127,1.999939,0.206107,94.267174,-5.893130,A
3,-0.771973,0.312012,1.999939,0.450382,24.587786,4.671756,A
3,-0.679199,0.408936,1.999939,4.625954,-27.938931,18.526718,A
3,-0.579102,0.460449,1.999939,24.320610,-62.480915,44.145039,A
3,-0.484375,0.522705,1.895264,46.076336,-94.412216,67.549622,A
3,-0.331543,0.647217,1.547852,36.709923,-122.305344,82.984734,A
3,-0.219727,0.593506,1.267822,11.786260,-134.854965,95.328247,A
3,-0.109131,0.500244,0.947754,-19.297710,-131.992371,99.519081,A
3,-0.036621,0.387207,0.741211,-38.770992,-116.221375,103.152672,A
3,0.007568,0.171387,0.630859,-49.068703,-91.519081,111.496185,A
3,0.043213,-0.155273,0.562988,-55.908398,-62.557251,109.557251,A
3,0.088379,-0.422119,0.498779,-56.633587,-36.091602,95.977097,A
3,0.118164,-0.695313,0.463379,-50.076336,-9.694656,76.412216,A
3,0.041016,-0.759766,0.601318,-38.030533,7.335878,54.389313,A
3,-0.031006,-0.797119,0.701172,-29.122137,23.007633,39.641220,A
3,-0.163818,-0.874756,0.908447,-23.786259,22.862595,24.290077,A
